Codigo;Nombre;Garantia
175;Drivewear Trivex Transitions Neutro Stock;NO
1121;Photo Lite Fotosensible Orgánico Stock c/AR;NO
3100;Mineral Blanco Stock;NO
3125;Mineral Photo Gris Stock;NO
3400;Vitorganic Blanco Stock;NO
3404;Amplitude SELECTIVE Stock;SI
3406;Amplitude SUNMATIC Gris Stock;SI
3410;Amplitude HD Stock;SI
3412;Amplitude HD Stock Rango Extendido;SI
3415;Control Blue Stock;NO
3416;Control Blue Rango Extendido Stock;NO
3417;Amplitude SUNMATIC Fashion Azul Neutro Stock;SI
3418;Amplitude SUNMATIC Fashion Rosado Neutro Stock;SI
3419;Amplitude SUNMATIC Fashion Café Neutro Stock;SI
3420;AR Lite Orgánico Stock;NO
3421;Amplitude SUNMATIC Fashion Gris Neutro Stock;SI
3426;AR Lite Orgánico Stock Rango Extendido;NO
3460;Polarizado Gris Neutro Orgánico Stock;NO
3462;Polarizado Cafe Neutro Orgánico Stock;NO
3464;Polarizado G15 Neutro Orgánico Stock;NO
3465;Orgánico Solar Uniforme Gris Neutro Stock;NO
3466;Orgánico Solar Degradé Gris Neutro Stock;NO
3470;Orgánico Solar Uniforme Café Neutro Stock;NO
3471;Orgánico Solar Degradé Café Neutro Stock;NO
3475;Orgánico Solar Uniforme G15 Neutro Stock;NO
3490;Amplitude HD Dual Blue Stock;SI
3492;Amplitude HD Dual Blue Stock Rango Extendido;SI
3500;HOYA 1.50 CLEAR c/AR SUPER HI-VISION STOCK;SI
3550;Photo Lite GEN 2 Fotosensible Orgánico Stock c/AR;NO
3560;Amplitude OFFICE Stock;SI
3625;Poly Lite Policarbonato Stock c/AR.;NO
4000;PENTAX ASF 1.60 SENSITY GREY STOCK;SI
5000;Amplitude UHD 1.50 Orgánico Blanco;SI
5002;Amplitude UHD 1.50 Orgánico Smart Control;SI
5004;Amplitude UHD 1.50 Orgánico SUNMATIC Gris;SI
5005;Amplitude UHD 1.50 Orgánico SUNMATIC Café;SI
5006;Amplitude UHD 1.50 Orgánico SUNMATIC Café;SI
5007;Amplitude UHD 1.50 Orgánico SUNMATIC Rosado;SI
5014;Amplitude UHD 1.50 Orgánico Polarizado Gris;SI
5016;Amplitude UHD 1.50 Orgánico Polarizado Café;SI
5018;Amplitude UHD 1.50 Orgánico Polarizado G15;SI
5020;Amplitude UHD 1.50 Orgánico Polarizado Gris Espejado Plata;SI
5022;Amplitude UHD 1.50 Orgánico Polarizado Gris Espejado Azul;SI
5024;Amplitude UHD 1.50 Orgánico Polarizado Marron Espejado Dorado;SI
5026;Amplitude UHD 1.50 Orgánico Drivewear Polarizado Transitions;SI
5028;Amplitude UHD 1.53 Trivex Blanco;SI
5032;Amplitude UHD 1.59 Policarbonato Blanco;SI
5033;Amplitude UHD 1.59 Policarbonato Smart Control;SI
5034;Amplitude UHD 1.59 Poli Foto Neochromes Gris;SI
5035;Amplitude UHD 1.59 Polarizado Polarizado Café ((USO INTERNO));SI
5036;Amplitude UHD 1.60 MR-8 Blanco;SI
5038;Amplitude UHD 1.60 MR-8 Control Blue;SI
5039;Amplitude UHD 1.60 MR-8 SUNMATIC Gris;SI
5040;Amplitude UHD 1.67 Orgathin Blanco;SI
5041;Amplitude UHD 1.59 Polarizado Polarizado G15 ((USO INTERNO));SI
5042;Amplitude UHD 1.67 Orgathin SUNMATIC Gris;SI
5044;Amplitude UHD 1.74 Nexus Blanco;SI
5045;Amplitude UHD 1.67 Smart Control ((USO INTERNO));SI
5100;Amplitude RELAX 1.50 Orgánico Blanco;SI
5101;Amplitude RELAX 1.50 Orgánico SUNMATIC Azul;SI
5102;Amplitude RELAX 1.50 Orgánico Smart Control;SI
5103;Amplitude RELAX 1.50 Orgánico SUNMATIC Rosado;SI
5104;Amplitude RELAX 1.50 Orgánico SUNMATIC Gris;SI
5105;Amplitude RELAX 1.50 Orgánico SUNMATIC Café;SI
5106;Amplitude RELAX 1.59 Policarbonato Blanco;SI
5107;Amplitude RELAX 1.59 Policarbonato Smart Control;SI
5110;Amplitude RELAX 1.60 MR-8 Blanco;SI
5111;Amplitude RELAX 1.60 MR-8 SUNMATIC Gris;SI
5112;Amplitude RELAX 1.60 MR-8 Control Blue;SI
5114;Amplitude RELAX 1.67 Orgathin Blanco;SI
5116;Amplitude RELAX 1.67 Orgathin SUNMATIC Gris;SI
5150;Monofocal TPD 1.50 Orgánico Blanco;NO
5152;Monofocal TPD 1.50 Orgánico Photo Lite;NO
5154;Monofocal TPD 1.50 Orgánico SUNMATIC Gris;NO
5156;Monofocal TPD 1.50 Orgánico SUNMATIC Café;NO
5164;Monofocal TPD 1.50 Orgánico Polarizado Gris;NO
5166;Monofocal TPD 1.50 Orgánico Polarizado Café;NO
5168;Monofocal TPD 1.50 Orgánico Polarizado G15;NO
5170;Monofocal TPD 1.50 Orgánico Drivewear Transitions;NO
5172;Monofocal TPD 1.53 Trivex Blanco;NO
5176;Monofocal TPD 1.59 Policarbonato Blanco;NO
5178;Monofocal TPD 1.59 Poli Foto Neochromes Gris;NO
5180;Monofocal TPD 1.67 Orgathin Blanco;NO
5181;Monofocal TPD 1.59 Policarbonato Polarizado G15 ((USO INTERNO));SI
5182;Monofocal TPD 1.67 Orgathin SUNMATIC Gris;NO
5183;Monofocal TPD 1.59 Policarbonato Polarizado Café ((USO INTERNO));SI
5184;Monofocal TPD 1.74 Nexus Blanco;NO
5186;Monofocal TPD 1.60 MR-8 Blanco;NO
